游民		1	1								2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
见习剑士		11	1	0	0						4	3	3	0	3	3	3	4	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
剑士		12	1	5	10						6	3	3	0	3	3	3	6	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宫剑士		13	1	10	50						8	3	3	0	3	3	3	8	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
剑术师范		14	1	20	100						10	3	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
剑圣		15	1	1	1						10	3	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
武士		16	1	1	1						10	3	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
剑圣		17	1	1	1						10	3	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
见习战斧斗士		21	1	0	0						3	4	3	0	3	3	3	4	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
战斧斗士		22	1	5	10						3	6	3	0	3	3	3	6	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宫战斧斗士		23	1	10	50						3	8	3	0	3	3	3	8	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
战斧师范		24	1	20	100						3	10	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
狂战士		25	1	1	1						3	10	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
狂战士		26	1	1	1						3	10	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
破坏狂		27	1	1	1						3	10	3	0	3	3	3	10	10	3	10	3	0	10	3	10	10	10	10	10	10	10	10					
见习骑士		31	1	0	0						3	3	4	0	3	3	3	4	4	3	4	3	0	4	3	4	4	4	4	4	4	4	4					
骑士		32	1	5	10						3	3	6	0	3	3	3	6	6	3	6	3	0	6	3	6	6	6	6	6	6	6	6					
王宫骑士		33	1	10	50						3	3	8	0	3	3	3	8	8	3	8	3	0	8	3	8	8	8	8	8	8	8	8					
