###诺斯菲拉特大陆系列###
梦魇	0	50104	-1	-1	80082	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
梦境麦尼迷宫		50105	-1	-1	80083	80084	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
柯村门口遇敌		50106	-1	-1	80085	80086	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
柯村外遇敌		50107	-1	-1	80087	80088	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
#############
组织邀请		50108	-1	-1	80089	80090	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
组织成员	0	50109	-1	-1	80091	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
组织成员	0	50110	-1	-1	80092	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
组织成员	0	50111	-1	-1	80093	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
组织成员	0	50112	-1	-1	80094	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
艾谢巴特	0	50113	-1	-1	80095	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
