###诺斯菲拉特大陆系列###
39110	0	0	0	0	0	0			0	0	2	2	2	2	2	2			2	0	4	309	109	8158	9458	9706			7300	7400	15	20	25	30	35	40			100	10
39111	0	0	0	0	0				0	0	2	2	2	2	0				2	0	2008	2408	2808	3108	809				7300	7400	20	25	30	35	40				100	100
39112	0	0							0	0	2	2							2	0	309	609							7300	7400	30	35							100	10
39113	0	0	0						0	0	2	2	0						2	0	2208	3008	809						7300	7400	50	55	60						100	10
39114	8	0	0						0	0	2	2	0						2	0	8200	109	809						7300	7400	50	20	10						100	10
39115	0	0							0	0	2	2							2	0	7509	4409							7300	7400	45	50							100	10
39116	0	0	0						0	0	2	2	2						2	0	7709	4008	909						7300	7400	35	40	45						100	10
39117	7	0	0	0	0				0	0	0	2	2	2	0				2	0	1205	104	5	305	805				7300	7400	55	45	55	80	15				100	100
39118	0	0	0						0	0	2	2	2						2	0	9506	9506	906						7300	7400	35	55	55						100	100
39119	0	0	0	0					0	0	2	2	0	2					2	0	8	107	1107	307					7300	7400	35	45	30	50					100	100
39120	0	0	0	0					0	0	2	2	0	2					2	0	4	104	1104	304					7300	7400	35	45	15	50					100	100
39121	35	41	88	8	13	15	53	0	0	0	2	2	2	2	0	0	2	2	2	0	26209	4854	9707	8652	6709	6709	8	359	409	1109	100	25	60	35	100	100	100	40	35	100
