###诺斯菲拉特大陆系列###
Event	往柯马特依	0	2	0	1	1	0	57419	29	23	29	23	29	23	29	23	1	60000	4	14073	0	1	0	Cayenne_kecun_1.txt
Event	港湾管理员	0	2	0	1	1	0	40004	18	53	18	53	18	53	18	53	1	60000	4	14073	0	1	0	Cayenne_kecun_2.txt
Event	船务员	0	2	0	1	1	0	40004	52	50	52	50	52	50	52	50	1	60000	4	14072	0	1	0	Cayenne_kecun_3.txt
Event	船务员	0	2	0	1	1	0	40005	52	50	52	50	52	50	52	50	1	60000	4	14072	0	1	0	Cayenne_kecun_4.txt
Event	船员	0	2	0	1	1	0	59100	65	22	65	22	65	22	65	22	1	60000	4	231054	0	1	0	Cayenne_kecun_5.txt
Event	往雷克塔尔	0	2	0	1	1	0	57452	118	70	118	70	118	70	118	70	1	60000	4	14072	0	1	0	Cayenne_kecun_6.txt
Event	港湾管理员	0	2	0	1	1	0	40005	18	53	18	53	18	53	18	53	1	60000	4	14073	0	1	0	Cayenne_kecun_7.txt
Event	加蒙神官	0	2	0	1	1	0	43700	83	80	83	80	83	80	83	80	1	60000	4	14501	0	1	0	Cayenne_kecun_8.txt
Event	掘地族小古	0	2	0	1	1	0	57452	67	86	67	86	67	86	67	86	1	60000	6	101020	0	1	0	Cayenne_kecun_9.txt
Event	阿斯提亚药剂师	0	2	0	1	1	0	57452	68	66	68	66	68	66	68	66	1	60000	6	14501	0	1	0	Cayenne_kecun_10.txt
Event	卡恩神官	0	2	0	1	1	0	57452	73	66	73	66	73	66	73	66	1	60000	6	14503	0	1	0	Cayenne_kecun_11.txt
Event	理性	0	2	0	1	1	0	57463	33	29	33	29	33	29	33	29	1	60000	4	101020	0	1	0	Cayenne_kecun_12.txt
Event	绝望	0	2	0	1	1	0	57463	37	30	37	30	37	30	37	30	1	60000	4	101020	0	1	0	Cayenne_kecun_13.txt
Event	胆小	0	2	0	1	1	0	57463	28	28	28	28	28	28	28	28	1	60000	3	101020	0	1	0	Cayenne_kecun_14.txt
Event	愤怒	0	2	0	1	1	0	57463	31	31	31	31	31	31	31	31	1	60000	5	101020	0	1	0	Cayenne_kecun_15.txt
Event	掘地族小古	0	2	0	1	1	0	57462	8	7	8	7	8	7	8	7	1	60000	6	101020	0	1	0	Cayenne_kecun_16.txt
Event	梦魇	0	2	0	1	1	0	57464	40	40	40	40	40	40	40	40	1	60000	8	107914	0	1	0	Cayenne_kecun_17.txt
Event	年迈的掘地族	0	2	0	1	1	0	43000	218	431	218	431	218	431	218	431	1	60000	4	101020	0	1	0	Cayenne_kecun_18.txt
Event	年轻的掘地族	0	2	0	1	1	0	57461	478	51	478	51	478	51	478	51	1	60000	4	101020	0	1	0	Cayenne_kecun_19.txt
Event	愉快	0	2	0	1	1	0	57463	38	36	38	36	38	36	38	36	1	60000	1	101020	0	1	0	Cayenne_kecun_20.txt
Event	胆小的梦魇	0	2	0	1	1	0	57465	40	40	40	40	40	40	40	40	1	60000	5	100902	0	1	0	Cayenne_kecun_21.txt
Event	警戒线卫兵	0	2	0	1	1	0	57410	719	131	719	131	719	131	719	131	1	60000	4	231109	0	1	0	Cayenne_kecun_22.txt
##########################
Event	草料?	0	2	0	1	1	0	57452	41	61	41	61	41	61	41	61	1	60000	1	1	0	1	0	Cayenne_kecun_23.txt
Event	人才训练部队成员	0	2	0	1	1	0	57411	770	82	770	82	770	82	770	82	1	60000	1	1	0	1	0	Cayenne_kecun_24.txt
Event	人才训练部队成员	0	2	0	1	1	0	57411	732	122	732	122	732	122	732	122	1	60000	1	1	0	1	0	Cayenne_kecun_25.txt
Event	人才训练部队成员	0	2	0	1	1	0	57411	716	92	716	92	716	92	716	92	1	60000	1	1	0	1	0	Cayenne_kecun_26.txt
Event	人才训练部队成员	0	2	0	1	1	0	57411	767	85	767	85	767	85	767	85	1	60000	1	1	0	1	0	Cayenne_kecun_27.txt
Event	警戒线卫兵	0	2	0	1	1	0	57411	719	131	719	131	719	131	719	131	1	60000	4	231109	0	1	0	Cayenne_kecun_28.txt
Windowhealer	暗部医疗部队成员	0	2	0	1	1	0	57411	759	75	759	75	759	75	759	75	1	60000	4	106602	0	1	0	
