开放?岛BASE	13100	226	0	16	1	97	1	1	140	140	1	50	18211	11201	18255	-1	-1	-1	-1	-1	-1	-1	1000	600	4	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛1	13101	226	0	16	1	97	74	15	81	27	2	0	12006	11201	11200	-1	-1	-1	-1	-1	-1	-1	900	600	500	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛2	13102	226	0	16	1	97	87	14	101	25	2	0	11201	11200	-1	-1	-1	-1	-1	-1	-1	-1	600	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛3	13103	226	0	16	1	97	91	46	95	58	2	0	11201	11200	12000	-1	-1	-1	-1	-1	-1	-1	600	500	600	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛4	13104	226	0	16	1	97	50	26	53	52	2	0	11201	12404	12001	-1	-1	-1	-1	-1	-1	-1	600	1000	500	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛5	13105	226	0	16	1	97	25	42	33	60	2	0	12404	12002	-1	-1	-1	-1	-1	-1	-1	-1	1000	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛6	13106	226	0	16	1	97	34	59	37	68	2	0	11201	12003	-1	-1	-1	-1	-1	-1	-1	-1	640	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛7	13107	226	0	16	1	97	46	61	50	70	2	0	11201	12004	-1	-1	-1	-1	-1	-1	-1	-1	640	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛8	13108	226	0	16	1	97	65	56	68	82	2	0	11201	12006	-1	-1	-1	-1	-1	-1	-1	-1	620	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛9	13109	226	0	16	1	97	41	82	55	108	2	0	11201	12400	12401	-1	-1	-1	-1	-1	-1	-1	620	1000	800	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛10	13110	226	0	16	1	97	31	82	37	94	2	0	11201	12401	-1	-1	-1	-1	-1	-1	-1	-1	600	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛11	13111	226	0	16	1	97	76	99	82	107	2	0	11201	12401	12402	-1	-1	-1	-1	-1	-1	-1	600	800	700	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛12	13112	226	0	16	1	97	47	97	55	112	2	0	11201	12404	12407	-1	-1	-1	-1	-1	-1	-1	620	1000	600	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛13	13113	226	0	16	1	97	93	104	95	102	2	0	11201	12410	-1	-1	-1	-1	-1	-1	-1	-1	620	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛14	13114	226	0	16	1	97	106	24	111	45	2	0	11201	12000	12001	12002	-1	-1	-1	-1	-1	-1	640	600	500	800	-1	-1	-1	-1	-1	-1	-1	
开放?岛15	13115	226	0	16	1	97	109	45	115	81	2	0	11601	12407	-1	-1	-1	-1	-1	-1	-1	-1	600	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛16	13116	226	0	16	1	97	85	79	93	98	2	0	11601	12407	-1	-1	-1	-1	-1	-1	-1	-1	600	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛17	13117	226	0	16	1	97	65	26	78	34	2	0	11601	12407	-1	-1	-1	-1	-1	-1	-1	-1	600	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛18	13118	226	0	16	1	97	57	114	80	132	2	0	11601	12407	-1	-1	-1	-1	-1	-1	-1	-1	680	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛19	13119	226	0	16	1	97	102	47	121	66	1	900	12416	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛20	13120	226	0	16	1	97	102	15	122	44	1	900	12417	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛21	13121	226	0	16	1	97	106	76	123	110	1	950	12418	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛22	13122	226	0	16	1	97	88	60	101	73	1	950	12419	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放?岛2BASE	13200	226	0	16	1	97	1	1	140	140	1	50	18211	11201	18255	-1	-1	-1	-1	-1	-1	-1	1000	600	4	-1	-1	-1	-1	-1	-1	-1	-1	
开放狩19	15121	226	0	16	1	97	116	44	121	50	1	900	12416	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放狩20	15122	226	0	16	1	97	102	67	107	83	1	900	12417	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放狩22	15123	226	0	16	1	97	102	47	108	66	1	950	12418	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
开放狩23	15124	226	0	16	1	97	88	60	101	73	1	950	12419	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
