2	1	1652811340	0	11017	16	10	牛鬼的洞窟
3	278	1652811343	0	1538	15	18	城内的地下迷宫
8	280	1652811350	0	100	600	279	霞之洞窟
6	5	1652811345	0	666	73	2	海贼的洞窟
7	279	1652811347	0	1405	77	49	迷宫里的通道
10	281	1652807753	0	15543	11	7	水之迷宫
11	282	1652807754	0	15543	10	8	水之迷宫
12	283	1652807755	0	15543	15	25	水之迷宫
15	284	1652807756	0	11034	18	73	土之迷宫
14	285	1652807756	0	11034	26	49	土之迷宫
13	286	1652807757	0	11034	6	5	土之迷宫
0	16	1652807755	0	100	629	130	岛屿
102	15	1652807755	0	100	629	130	谜之迷宫
104	18	1652811359	0	100	544	36	奇怪的洞窟
105	19	1652811360	0	100	380	353	布满青苔的洞窟
107	287	1652811363	0	100	237	210	迷路之穴
108	21	1652811365	0	15579	25	15	白龙城
109	22	1652811368	0	15578	24	26	黑龙城
110	23	1652811370	0	15583	25	15	白龙城
111	24	1652811372	0	15584	24	26	黑龙城
112	25	1652811373	0	15595	25	4	炎之洞窟
113	26	1652811375	0	15596	10	74	炎之洞窟
114	27	1652811376	0	15596	85	38	炎之洞窟
200	28	1652811379	0	5004	61	56	传送石
201	29	1652811381	0	5004	59	26	传送石
202	30	1652825784	0	5004	38	22	传送石
203	31	1652825787	0	5004	19	26	传送石
204	32	1652840190	0	5004	16	56	传送石
300	33	1652811395	0	15517	8	38	阿鲁巴斯的洞窟
301	34	1652811397	0	16507	14	14	黑色的祈祷
302	35	1652811401	0	23003	42	21	罗连斯研究塔
303	36	1652818602	0	300	599	336	砂漠之祠
304	37	1652811405	0	3355	11	5	砂尘的洞窟
305	38	1652811407	0	15525	23	5	峡之洞窟
306	39	1652811411	0	15526	91	7	峡之洞窟
307	40	1652811412	0	15564	23	5	风之洞窟
309	42	1652807816	0	15568	58	45	迷路的龙之巢
400	43	1652811418	0	16510	25	7	贝兹雷姆的迷宫
401	44	1652811419	0	4402	16	13	科学家的牢房
402	45	1652811421	0	402	84	193	积雪的山路
403	46	1652807823	0	16521	10	13	蜥蜴之巢
404	47	1652811424	0	400	372	368	奇怪的坑道
409	51	1652811434	0	15552	18	39	询问之地
408	50	1652811433	0	15552	18	15	询问之地
410	52	1652811436	0	15557	16	18	询问之地
411	53	1652811437	0	15557	10	18	询问之地
412	54	1652811439	0	15558	16	18	询问之地
413	55	1652811441	0	15558	10	18	询问之地
414	56	1652811442	0	15548	16	18	询问之地
415	57	1652811444	0	15548	10	18	询问之地
416	58	1652811445	0	15550	16	18	询问之地
417	59	1652811447	0	15550	10	18	询问之地
418	60	1652811448	0	15549	16	18	询问之地
419	61	1652811449	0	15549	10	18	询问之地
420	62	1652811451	0	15559	16	18	询问之地
421	63	1652811452	0	15559	10	18	询问之地
422	64	1652811454	0	15553	16	18	询问之地
423	65	1652811456	0	15553	13	18	询问之地
424	66	1652811457	0	15553	10	18	询问之地
425	67	1652811458	0	15560	16	18	询问之地
426	68	1652811459	0	15560	10	18	询问之地
600	69	1652811460	0	36003	17	4	布朗山
601	70	1652811461	0	36001	58	21	布朗山
602	71	1652825862	0	37010	36	30	地下水脉
603	72	1652811464	0	36003	12	2	布朗山
604	73	1652806067	0	35000	13	34	地下遗迹
605	74	1652811468	0	34017	9	6	大树
700	75	1652811471	0	33223	23	16	无人的洞窟
701	76	1652811474	0	33224	23	16	无人的洞窟
702	77	1652811477	0	33225	23	16	无人的洞窟
703	78	1652811479	0	34004	9	4	时波之祠
704	79	1652811480	0	33000	290	436	深绿的山道
705	80	1652811480	0	47000	11	6	头目的～(略)
800	81	1652811481	0	47007	7	3	雷姆尔山
801	82	1652811482	0	47005	70	16	雷姆尔山
802	83	1652811483	0	47007	10	6	雷姆尔山
803	84	1652811484	0	47010	31	7	森之迷宫
804	85	1652811484	0	47011	29	11	森之迷宫
805	86	1652811485	0	47013	36	39	森之迷宫
806	87	1652811485	0	47014	11	35	森之迷宫
808	89	1652811489	0	43000	580	531	诅咒者之洞窟
901	288	1652811494	0	46030	5	4	秘密通道
900	289	1652811495	0	46030	16	7	秘密通道
902	290	1652811495	0	46030	10	8	秘密通道
903	291	1652811496	0	46030	27	8	秘密通道
904	292	1652811496	0	46030	10	4	秘密通道
905	293	1652811497	0	46030	25	5	秘密通道
906	97	1652811497	0	46045	15	8	魔导研究塔
907	98	1652807899	0	43981	40	39	麦尼洞窟
908	99	1652809700	0	46055	14	12	岛之洞窟
909	100	1652810001	0	46056	47	4	岛之洞窟
911	101	1652811503	0	59715	233	116	梦魔的迷宫
912	296	1652811511	0	59503	203	266	虫洞
923	105	1652811506	0	59716	166	141	四昏神的领域
922	295	1652811508	0	59714	122	69	海底墓场外苑
924	106	1652811507	0	59715	315	213	深草绿洞
925	107	1652811510	0	59715	123	104	怨灵洞窟
936	108	1652825911	0	59750	52	159	白之练兵场
937	109	1652825912	0	59750	52	162	白之练兵场
938	110	1652825914	0	59750	55	164	白之练兵场
943	115	1652840317	0	59750	241	338	机密实验场
940	112	1652840315	0	59750	130	77	机密实验场
941	113	1652840316	0	59750	162	109	机密实验场
942	114	1652840316	0	59750	208	305	机密实验场
947	117	1652807921	0	59752	208	306	蓝星的考验
949	119	1652825930	0	59752	140	77	秘密回廊
946	297	1652811533	0	59753	59	181	流沙骨洞
945	298	1652811533	0	59750	84	268	冒险庭园
950	122	1652807933	0	59933	100	95	黑迷宫
951	123	1652811538	0	59988	203	14	通往顶层的阶梯
3001	277	1652805245	0	32501	18	22	睿奇洞窟
3002	299	1652811546	0	32511	29	21	里欧波多洞窟
3003	126	1652811543	0	32505	9	27	利利可洞窟
3004	127	1652811543	0	30326	21	18	时间
3005	128	1652825944	0	30314	23	23	边境走廊
3006	129	1652825944	0	30319	23	23	边境走廊
3007	130	1652811546	0	30192	37	27	马斯的内心世界
3008	131	1652825951	0	32531	9	3	贝力斯遗迹
3009	132	1652807951	0	32629	54	7	宝箱洞窟
4006	133	1652811551	0	32378	69	92	迷宫地狱
4007	134	1652811552	0	32378	79	77	迷宫地狱
4014	141	1652811554	0	32378	9	85	迷宫地狱
4009	136	1652811552	0	32378	18	93	迷宫地狱
4010	137	1652811552	0	32378	43	92	迷宫地狱
4018	145	1652811555	0	32378	26	64	迷宫地狱
4012	139	1652811553	0	32378	25	83	迷宫地狱
4013	140	1652811553	0	32378	9	78	迷宫地狱
4015	142	1652811554	0	32378	20	77	迷宫地狱
4016	143	1652811554	0	32378	43	76	迷宫地狱
4017	144	1652811554	0	32378	31	77	迷宫地狱
4019	146	1652811555	0	32378	38	64	迷宫地狱
4020	147	1652811555	0	32378	56	71	迷宫地狱
4021	148	1652811556	0	32378	69	68	迷宫地狱
4022	149	1652811556	0	32378	71	73	迷宫地狱
4023	150	1652811556	0	32378	62	77	迷宫地狱
4031	158	1652811559	0	32378	15	49	迷宫地狱
4025	152	1652811557	0	32378	75	48	迷宫地狱
4026	153	1652811557	0	32378	86	49	迷宫地狱
