#####砍狗系列#####
敏捷的守卫	86105	30	5	9	50	50	50	100	50	300	6	30	20	20	0	0	50	50	0	0	0	0	0	0	0	4	20	20	7	101820	100	0	150		0	7300	7400								
勇猛的守卫	86106	30	5	9	50	100	50	50	50	300	6	30	20	20	0	0	50	50	0	0	0	0	0	0	0	4	20	20	7	101820	100	0	150		0	7300	7400								
丧失心智的头目	86107	50	5	9	400	50	50	50	50	300	6	0	30	30	30	30	30	30	100	100	100	100	100	100	1	0	30	30	10	101824	100	0			0	7300	7400								
怨恨的幽灵	86108	80	5	9	400	50	100	50	50	300	6	0	30	30	30	30	30	30	100	100	100	100	100	100	1	0	30	30	10	101121	100	0			0	7300	7400								
血魔	86109	20	5	3	22	29	24	23	46	250	5	0	5	5	0	10	90	0	100	100	100	100	100	100	1	0	5	5	6	101211	100	0			0	7300	7400	7930	2130						
改造丧尸	86110	50	5	9	500	50	50	50	50	300	6	0	0	0	0	80	20	0	0	0	0	0	0	0	0	3	0	0	9	101101	0	0			0	7300	7400								
僵尸	86111	30	5	9	100	50	50	50	50	300	6	0	10	10	40	0	0	60	100	100	100	100	100	100	0	3	10	10	9	101100	100	0			0	7300	7400								
小沐	86115	80	5	9	450	50	50	50	250	300	6	0	50	30	50	50	50	50	100	100	100	100	100	100	2	0	20	20	10	106377	100	0			0	7300	7400								
海盗	86112	50	5	9	400	50	50	50	50	300	6	0	30	30	30	30	30	30	100	100	100	100	100	100	1	0	30	30	10	101822	100	0			0	7300	7400								
地狱妖犬	86113	50	5	6	200	40	50	10	50	300	6	0	0	0	40	0	0	60	0	0	0	0	0	0	1	0	0	0	10	101033	100	0			0	7300	7400								
地狱猎犬	86114	50	5	6	200	40	50	10	50	300	6	0	0	0	0	0	60	40	0	0	0	0	0	0	1	0	0	0	10	101032	100	0			0	7300	7400								
迷你蝙蝠	86116	50	5	9	100	100	50	50	50	300	6	0	0	0	0	0	60	40	0	0	0	0	0	0	1	0	0	0	10	101242	100	0			0	7300	7400								
水蜘蛛	86117	50	5	9	100	50	50	50	100	300	6	0	0	0	0	100	0	0	0	0	0	0	0	0	1	0	0	0	10	101331	100	0			0	7300	7400								
史莱姆	86118	50	5	9	100	100	50	50	50	300	6	0	0	0	90	0	0	10	0	0	0	0	0	0	1	0	0	0	10	101500	100	0			0	7300	7400								
蜥蜴战士	86119	50	5	9	100	100	50	50	50	300	6	0	0	0	70	0	0	30	0	0	0	0	0	0	1	0	0	0	10	101700	100	0			0	7300	7400								
