#####法兰王国的暗流#####
通告?	协查通告										39674	27811	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9088	100	0	0			0
口供?	犯人的口供										39675	27881	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9089	100	0	0			0
液体?	恶臭的液体										39676	27236	0	26		0	1	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9090	100	0	0			0
口供?	犯人的新口供										39677	27881	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9091	100	0	0			0
信物?	接头信物										39678	26571	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9092	100	0	0			0
血?	穴熊的血										39679	27243	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9093	100	0	0			0
衣?	卫兵服	Cayenne_anliu3_1.txt			ITEM_useMystery						39680	21684	0	26		0	1	2	0	1	1	1	1	100	150	150			0	0			10	10													5	5																																								0	1	0			0		9094	100	0	0			0
衣?	“染血”的卫兵服										39681	21685	0	26		0	0	2	0	1	1	1	1	100	150	150			0	0			10	10													5	5																																								0	1	0			0		9095	100	0	0			0
信件?	给梅兹的联络信										39682	27818	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9096	100	0	0			0
清单?	需求材料清单										39683	27880	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9097	100	0	0			0
清单?	附加批注的材料清单										39684	27880	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9098	100	0	0			0
回执?	辛德的回执信										39685	27820	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		70812	100	0	0			0
花?	逆香花										39686	99082	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9100	100	0	0			0
血?	蔓陀罗草的血										39687	26507	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9101	100	0	0			0
毒药?	“杀人”用的毒										39688	27238	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9102	100	0	0			0
护身符?	奇怪的护身符										39689	26228	0	21		0	1	0	0	1	1	1	3	0	150	150			0	0	10	30	-10	30	5	10											-1	-5									-5	-5													5	10																0	1	0			0		9103	100	0	0			0
麻布?	迷彩麻布										39690	26910	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9104	100	0	0			0
名册?	成员名册										39691	10509	0	26		0	0	0	0	1	1	1	1	0					0	0																																																										0	1	0			0		9105	100	0	0			0
勋章?	禁卫勋章										39692	99084	0	21		0	1	0	0	1	1	1	3	0	300	300			0	0			45	54			7	7											200	222																															2	57	50					0	1	0			0	9106	9107	100	0	0			0
