#####半山1彷徨的亡灵#####
亡魂?	0,1,2,3,4	900070	-1	-1	12210	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
#####半山2亡者之镇#####
小岛遇敌		900071	-1	-1	12212	12213	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
达尔文海海底迷宫		900072	-1	-1	12214	12215	12216	0	0	0	0	0	0	0	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
深海领主	0,1,2,3,4,6,7	900073	-1	-1	12217	12218	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
#####半山3圣鸟之谜#####
通往山顶的路迷宫		900074	-1	-1	12219	12220	12221	12222	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
半山腰遇敌		900075	-1	-1	12223	12224	12225	12226	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
阿鲁卡纳斯	1,2	900076	-1	-1	12227	12228	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
#####半山4赎罪的亡灵#####
通往山顶的路迷宫		900077	-1	-1	12229	12230	12231	12232	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
两年前的半山腰遇敌		900078	-1	-1	12233	12234	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
利牙Lv1		900079	-1	-1	12233	12234	12235	0	0	0	0	0	0	0	50	50	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
修特	0	900080	-1	-1	12236	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
#####半山5小岛之谜#####
通往山顶的路迷宫		900081	-1	-1	12237	12238	12239	12240	0	0	0	0	0	0	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#####半山6地狱的回响#####
通往地狱的道路迷宫		900082	-1	-1	12241	12242	12243	12244	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#半山7#																																		
半山7迷宫	5,0,1,2,8,9,6,7,3,4	50207	-1	-1	80259	80260	80261	80262	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
#半山8小岛#
小岛遇敌	5,0,1,2,8,9,6,7,3,4	50208	-1	-1	80263	80264	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
土之地狱守门人	0	50209	-1	-1	80265	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
冰之地狱守门人	0	50210	-1	-1	80266	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
火之地狱守门人	0	50211	-1	-1	80267	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
风之地狱守门人	0	50212	-1	-1	80268	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
芒&&阿鲁卡那斯	9,8	50213	-1	-1	80269	80270	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
#####半山8死神的降临#####
通往山顶的路迷宫		900083	-1	-1	12245	12246	12247	12248	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
通往地狱的道路迷宫		900084	-1	-1	12249	12250	12251	12252	0	0	0	0	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
地之地狱迷宫		900085	-1	-1	12253	12254	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
水之地狱迷宫		900086	-1	-1	12255	12256	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
火之地狱迷宫		900087	-1	-1	12257	12258	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
风之地狱迷宫		900088	-1	-1	12259	12260	0	0	0	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
冥界(表)遇敌		900089	-1	-1	12265	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
地狱骷髅Lv1		900090	-1	-1	12265	12266	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
阿鲁卡那斯	4,3	900091	-1	-1	12267	12268	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
#####半山9死与新生#####
冥界(里)遇敌		900092	-1	-1	12269	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
冥界之森遇敌		900093	-1	-1	12270	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
死神的陷阱遇敌		900094	-1	-1	12271	12272	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
死神的仆从	0	900095	-1	-1	12273	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
芒		900096	-1	-1	12274	12275	12276	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
哭泣的灵魂		900097	-1	-1	12277	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
