#####半山1彷徨的亡灵#####
亡魂?	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12210	800212	70	70	1	1	60100	0	-1	0	0																															1	1	12211	0	480
幽灵	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12211	800213	60	60	4	4	60101	0	-1	0	0																															0	0	0	0	0
#####半山2亡者之镇#####
黄蝎	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12212	800214	49	59	1	10	60102	-1	-1	0	0	14859	18072	18009	18313	18310						1	2	18	1	1						16958	14432	14859	18313	18310	1	200	200	20	180	0	0	0	0	0
幽灵	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12213	800215	49	59	1	10	60103	-1	-1	0	0	14832	18031	18010	18311	18310						1	4	16	1	1						16931	14472	14832	18311	18310	1	200	200	40	160	0	0	0	0	0
水龙蜥	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12214	800216	1	1	1	10	60104	-1	-1	0	0	14939	18029	18050	18311	18312						1	16	4	1	1						17038	14411	14939	18311	18312	1	200	200	160	40	0	0	0	0	0
水晶螃蟹	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12215	800217	1	1	1	10	60105	-1	-1	0	0	14926	18031	18052	18311	18312						1	16	4	1	1						17025	14452	14926	18311	18312	1	200	200	160	40	0	0	0	0	0
蜥蜴斗士	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12216	800218	1	1	1	10	60106	-1	-1	0	0	14930	18035	18014	18311	18310						1	6	14	1	1						17029	14414	14930	18311	18310	1	200	200	60	140	0	0	0	0	0
深海领主	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12217	800219	75	75	1	1	60107	0	-1	0	0																															1	1	0	0	0
水晶螃蟹	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12218	800220	65	65	6	6	60108	0	-1	0	0																															0	0	0	0	0
#####半山3圣鸟之谜#####
托罗帝鸟	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12219	800221	1	1	1	10	60109	-1	-1	0	0	15020	18019	18082	18310	18313						1	8	2	1	1						17120	14467	15020	18310	18313	1	200	200	160	40	0	0	0	0	0
岩地跑者	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12220	800222	1	1	1	10	60110	-1	-1	0	0	15021	18033	18012	18311	18310						1	16	4	1	1						17121	14463	15021	18311	18310	1	200	200	40	160	0	0	0	0	0
火焰啄木鸟	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12221	800223	1	1	1	10	60111	-1	-1	0	0	15022	18032	18053	18312	18311						1	1	1	1	1						17122	14464	15022	18312	18311	1	200	200	140	60	0	0	0	0	0
狂奔鸟	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12222	800224	1	1	1	10	60112	-1	-1	0	0	15023	18068	18047	18313	18312						1	16	4	1	1						17123	14460	15023	18313	18312	1	200	200	40	160	0	0	0	0	0
虎人	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12223	800225	72	74	1	10	60113	-1	-1	0	0	14801	18007	18070	18310	18313						1	6	14	1	1						16900	14421	14801	18310	18313	1	200	200	60	140	0	0	0	0	0
迷你蝙蝠	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12224	800226	72	74	1	10	60114	-1	-1	0	0	14848	18048	18069	18312	18313						1	12	8	1	1						16947	14460	14848	18312	18313	1	200	200	120	80	0	0	0	0	0
液态史莱姆	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12225	800227	72	74	1	10	60115	-1	-1	0	0	14895	18030	18009	18311	18310						1	1	9	1	1						16994	14442	14895	18311	18310	1	200	200	20	180	0	0	0	0	0
利牙	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12226	800228	72	74	1	10	60116	-1	-1	0	0	15015	18068	18047	18313	18312						1	18	2	1	1						17115	14470	15015	18313	18312	1	200	200	20	180	0	0	0	0	0
阿鲁卡纳斯	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12227	800229	80	80	1	1	60117	0	-1	0	0	141189										30																				1	1	0	0	0
阿鲁卡那斯之子	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12228	800230	60	60	1	1	60118	0	-1	0	0																															1	1	0	0	0
#####半山4赎罪的亡灵#####
托罗帝鸟	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12229	800231	1	1	1	10	60119	-1	-1	0	0	15020	18019	18082	18310	18313						1	8	2	1	1						17120	14467	15020	18310	18313	1	200	200	160	40	0	0	0	0	0
岩地跑者	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12230	800232	1	1	1	10	60120	-1	-1	0	0	15021	18033	18012	18311	18310						1	16	4	1	1						17121	14463	15021	18311	18310	1	200	200	40	160	0	0	0	0	0
